question_id,student_id,correct,time
1,28,1,20.733
1,27,1,42.53
1,30,1,20.264
1,29,1,39.025999999999996
1,24,1,34.961999999999996
1,23,0,60.0
1,22,1,25.304000000000002
1,1,1,29.715
1,33,1,26.619
1,35,1,34.811
1,19,1,27.337
1,11,1,29.419
1,6,1,20.686999999999998
1,5,0,44.019
1,14,0,41.872
1,34,1,32.916
1,3,1,12.603
1,16,1,27.017
1,17,1,41.45399999999999
1,26,1,28.018
1,31,1,26.906
1,2,1,21.221999999999998
2,28,1,33.13
2,27,1,47.641000000000005
2,30,1,21.774
2,29,1,47.946000000000005
2,24,1,48.785
2,23,1,32.102
2,22,1,34.11
2,1,1,40.907
2,33,0,38.577
2,35,1,34.317
2,19,1,39.805
2,11,1,25.570999999999998
2,6,1,36.181
2,5,1,32.951
2,14,0,40.26
2,34,1,47.848
2,3,0,24.354
2,16,1,48.631
2,17,0,12.737
2,26,1,9.156
2,31,1,22.311
2,2,1,23.035
3,28,0,47.84
3,27,1,37.567
3,30,1,22.93
3,29,0,43.81399999999999
3,24,0,20.034000000000002
3,23,1,16.893
3,22,1,38.348
3,1,1,40.692
3,33,1,23.261999999999997
3,35,1,20.495
3,19,0,31.93
3,11,0,42.72
3,6,1,22.795
3,5,1,23.124000000000002
3,14,1,56.283
3,34,0,18.969
3,3,1,32.279
3,16,0,50.605
3,17,1,18.587
3,26,1,26.476999999999997
3,31,1,18.19
3,2,1,26.883000000000003
4,28,1,37.762
4,27,1,28.811999999999998
4,30,1,31.939
4,29,1,40.902
4,24,1,31.64
4,23,1,18.739
4,22,1,35.875
4,1,0,25.351
4,33,0,40.716
4,35,1,37.402
4,19,0,30.096
4,11,0,20.566999999999997
4,6,1,36.059
4,5,1,21.933000000000003
4,14,0,60.0
4,34,1,32.619
4,3,1,36.989000000000004
4,16,0,55.843999999999994
4,17,1,13.595999999999998
4,26,0,22.875999999999998
4,31,1,24.444000000000003
4,2,1,34.73
5,28,0,54.761
5,27,0,55.141999999999996
5,30,0,45.053000000000004
5,29,0,30.840999999999998
5,24,0,30.679000000000002
5,23,0,43.703
5,22,0,58.669
5,1,0,60.0
5,33,0,40.641999999999996
5,35,0,52.549
5,19,1,48.68899999999999
5,11,0,47.126999999999995
5,6,1,29.359
5,5,0,47.968999999999994
5,14,0,59.415
5,34,0,31.703000000000003
5,3,1,49.293
5,16,0,37.579
5,17,1,31.814
5,26,1,48.293
5,31,0,21.237
5,2,0,32.799
6,28,1,28.774
6,27,1,4.412
6,30,1,8.8
6,29,1,54.82
6,24,1,54.98
6,23,1,39.113
6,22,1,6.774
6,1,1,7.151
6,33,1,33.823
6,35,1,6.032
6,19,1,32.433
6,11,0,8.243
6,6,1,11.534
6,5,1,14.115
6,14,1,28.628
6,34,1,55.696000000000005
6,3,1,11.918
6,16,1,33.042
6,17,1,10.794
6,26,1,6.867000000000001
6,31,0,12.605
6,2,0,12.368
7,28,1,19.287
7,27,1,13.619000000000002
7,30,1,25.581999999999997
7,29,1,18.227999999999998
7,24,1,18.164
7,23,1,25.131999999999998
7,22,1,10.799000000000001
7,1,1,15.027999999999999
7,33,1,16.771
7,35,0,56.473
7,19,0,31.250999999999998
7,11,1,24.377
7,6,1,12.025
7,5,1,25.430999999999997
7,14,1,20.605999999999998
7,34,1,18.258
7,3,1,22.662
7,16,1,51.525
7,17,1,12.819
7,26,1,9.093
7,31,1,13.067
7,2,1,14.642000000000001
8,28,1,12.289000000000001
8,27,1,2.388
8,30,1,12.241
8,29,1,7.32
8,24,1,7.5489999999999995
8,23,1,6.028
8,22,1,7.521
8,1,1,14.155
8,33,1,8.742
8,35,1,8.677
8,19,0,43.736999999999995
8,11,0,11.285
8,6,1,40.649
8,5,1,18.099
8,14,1,19.389
8,34,1,9.012
8,3,1,2.334
8,16,0,52.08
8,17,1,5.544
8,26,1,10.71
8,31,1,5.194
8,2,1,3.897
9,28,1,29.621
9,27,1,5.162999999999999
9,30,1,10.05
9,29,1,6.234
9,24,1,5.807
9,23,1,21.871
9,22,1,5.099
9,1,1,5.421
9,33,0,7.667999999999999
9,35,1,9.571
9,19,1,45.20399999999999
9,11,1,7.622999999999999
9,6,1,9.737
9,5,1,24.201999999999998
9,14,1,15.198
9,34,1,6.466
9,3,1,4.28
9,16,1,31.1
9,17,1,4.1739999999999995
9,26,1,9.176
9,31,1,11.020999999999999
9,2,1,24.018
10,28,0,40.503
10,27,1,26.147
10,30,0,52.832
10,29,1,35.864000000000004
10,24,1,37.198
10,23,0,28.416999999999998
10,22,1,45.602
10,1,0,53.92100000000001
10,33,0,27.621
10,35,1,56.42100000000001
10,19,0,40.349000000000004
10,11,0,8.107999999999999
10,6,0,44.652
10,5,0,24.183000000000003
10,14,1,20.154
10,34,1,41.79
10,3,1,22.776999999999997
10,16,1,39.314
10,17,1,35.055
10,26,1,11.788
10,31,1,21.625999999999998
10,2,1,15.869000000000002
